layanan,waktu_layanan,jam
pengambilan kartu ujian,5,15:09
pengambilan kartu ujian,7,15:53
pengambilan kartu ujian,5,14:59
pengambilan kartu ujian,3,13:20
pengambilan kartu ujian,5,15:37
pengambilan kartu ujian,4,11:38
pengambilan kartu ujian,10,9:48
pengambilan kartu ujian,5,14:13
pengambilan kartu ujian,5,8:46
pengambilan kartu ujian,5,13:33
pengambilan kartu ujian,3,10:54
pengambilan kartu ujian,10,11:04
pengambilan kartu ujian,30,13:35
pengambilan kartu ujian,5,10:41
pengambilan kartu ujian,3,11:54
pengambilan kartu ujian,4,15:54
pengambilan kartu ujian,4,10:50
pengambilan kartu ujian,3,11:42
pengambilan kartu ujian,5,15:13
pengambilan kartu ujian,1,11:50
pengambilan kartu ujian,2,13:23
pengambilan kartu ujian,5,13:29
pengambilan kartu ujian,5,15:44
pengambilan kartu ujian,5,15:09
pengambilan kartu ujian,5,14:15
pengambilan kartu ujian,5,14:01
pengambilan kartu ujian,3,13:55
pengambilan kartu ujian,3,10:18
pengambilan kartu ujian,5,14:21
pengambilan kartu ujian,5,8:46
pengambilan kartu ujian,5,8:18
pengambilan kartu ujian,5,14:19
pengambilan kartu ujian,5,15:26
pengambilan kartu ujian,60,13:18
pengambilan kartu ujian,5,15:31
pengambilan kartu ujian,15,9:12
pengambilan kartu ujian,4,14:33
pengambilan kartu ujian,10,9:45
pengambilan kartu ujian,5,13:55
pengambilan kartu ujian,3,14:29
pembayaran semester,10,14:19
pembayaran semester,10,10:16
pembayaran semester,20,8:23
pembayaran semester,3,14:18
pembayaran semester,10,11:01
pembayaran semester,10,9:36
pembayaran semester,10,9:35
pembayaran semester,2,9:59
pembayaran semester,5,14:29
pembayaran semester,5,13:25
pembayaran semester,4,9:20
pembayaran semester,10,13:25
pembayaran semester,30,10:05
pembayaran semester,3,13:01
pembayaran semester,3,14:02
pembayaran semester,20,11:51
pembayaran semester,20,8:30
pembayaran semester,5,14:48
pembayaran semester,5,10:02
pembayaran semester,1,14:05
pembayaran semester,2,8:51
pembayaran semester,5,9:00
pembayaran semester,180,14:00
pembayaran semester,5,14:11
pembayaran semester,5,14:06
pembayaran semester,5,14:55
pembayaran semester,5,15:44
pembayaran semester,4,15:04
pembayaran semester,10,11:54
pembayaran semester,5,11:08
pembayaran semester,5,10:33
pembayaran semester,5,15:27
pembayaran semester,10,10:25
pembayaran semester,10,15:38
pembayaran semester,5,15:41
pembayaran semester,10,10:34
pembayaran semester,5,13:28
pembayaran semester,20,13:10
pembayaran semester,5,13:03
pembayaran semester,5,8:09
pembayaran tunggakan,10,14:53
pembayaran tunggakan,10,8:32
pembayaran tunggakan,20,14:36
pembayaran tunggakan,3,9:25
pembayaran tunggakan,10,11:57
pembayaran tunggakan,5,15:16
pembayaran tunggakan,10,14:45
pembayaran tunggakan,3,13:05
pembayaran tunggakan,5,13:10
pembayaran tunggakan,3,8:45
pembayaran tunggakan,5,8:06
pembayaran tunggakan,30,8:38
pembayaran tunggakan,4,10:59
pembayaran tunggakan,3,9:08
pembayaran tunggakan,10,15:04
pembayaran tunggakan,10,14:25
pembayaran tunggakan,5,9:09
pembayaran tunggakan,5,13:00
pembayaran tunggakan,1,9:51
pembayaran tunggakan,2,15:44
pembayaran tunggakan,5,13:18
pembayaran tunggakan,1,13:39
pembayaran tunggakan,10,15:17
pembayaran tunggakan,5,9:45
pembayaran tunggakan,5,9:35
pembayaran tunggakan,5,13:34
pembayaran tunggakan,5,8:37
pembayaran tunggakan,10,10:27
pembayaran tunggakan,5,14:32
pembayaran tunggakan,5,9:06
pembayaran tunggakan,3,14:04
pembayaran tunggakan,10,14:11
pembayaran tunggakan,1,14:01
pembayaran tunggakan,5,8:59
pembayaran tunggakan,7,13:53
pembayaran tunggakan,20,15:03
pembayaran tunggakan,5,8:36
pembayaran tunggakan,10,13:14
pembuatan surat dispensasi,5,14:00
pembuatan surat dispensasi,5,10:52
pembuatan surat dispensasi,3,11:42
pembuatan surat dispensasi,5,8:37
pembuatan surat dispensasi,5,15:16
pembuatan surat dispensasi,5,8:59
pembuatan surat dispensasi,5,13:14
pembuatan surat dispensasi,5,10:44
pembuatan surat dispensasi,4,11:48
pembuatan surat dispensasi,5,14:34
pembuatan surat dispensasi,60,15:53
pembuatan surat dispensasi,3,10:46
pembuatan surat dispensasi,25,13:04
pembuatan surat dispensasi,20,9:06
pembuatan surat dispensasi,3,8:38
pembuatan surat dispensasi,5,15:27
pembuatan surat dispensasi,1,13:14
pembuatan surat dispensasi,5,15:28
pembuatan surat dispensasi,5,15:58
pembuatan surat dispensasi,3,10:22
pembuatan surat dispensasi,5,8:35
pembuatan surat dispensasi,10,10:16
pembuatan surat dispensasi,5,8:09
pembuatan surat dispensasi,3,15:54
pembuatan surat dispensasi,10,9:37
pembuatan surat dispensasi,1,15:04
pembuatan surat dispensasi,5,8:41
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
pembuatan surat dispensasi,10,8:25
pembuatan surat dispensasi,15,10:05
